Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);Flag
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;634626658;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;186262233;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;490679151;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;103952712;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;30717;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;1931495;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;43629265;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;109444083;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;684007942;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;201860806;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;515645438;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;126690206;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;34324;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;2007206;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;40985052;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;794877;0
