Period Desc.;Trade Flow;Reporter;Reporter ISO;Partner;Partner ISO;Commodity;Trade Value (US$)
2018;Export;United Kingdom;GBR;India;IND;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;657375
2017;Import;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;92024432
2017;Export;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;3366513
2017;Re-Export;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;11373
2017;Import;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;185805289
2017;Export;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;22693532
2017;Import;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;173222143
2017;Export;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;15497754
2017;Import;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;52711380
2017;Export;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;93306
2018;Import;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;80834614
2018;Export;United Kingdom;GBR;China;CHN;Vegetables and certain roots and tubers edible;4349247
2018;Import;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;188739318
2018;Export;United Kingdom;GBR;France;FRA;Vegetables and certain roots and tubers edible;24765468
2018;Import;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;178766652
2018;Export;United Kingdom;GBR;Germany;DEU;Vegetables and certain roots and tubers edible;22417582
2018;Import;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;53291318
2018;Export;United Kingdom;GBR;India;IND;Vegetables and certain roots and tubers edible;106961
2017;Import;United Kingdom;GBR;China;CHN;Fruit and nuts, edible peel of citrus fruit or melons;47733201
2017;Export;United Kingdom;GBR;China;CHN;Fruit and nuts, edible peel of citrus fruit or melons;376876
2017;Import;United Kingdom;GBR;France;FRA;Fruit and nuts, edible peel of citrus fruit or melons;258162608
2017;Export;United Kingdom;GBR;France;FRA;Fruit and nuts, edible peel of citrus fruit or melons;56384634
2017;Import;United Kingdom;GBR;Germany;DEU;Fruit and nuts, edible peel of citrus fruit or melons;395951353
2017;Export;United Kingdom;GBR;Germany;DEU;Fruit and nuts, edible peel of citrus fruit or melons;24528396
2017;Import;United Kingdom;GBR;India;IND;Fruit and nuts, edible peel of citrus fruit or melons;74246928
2017;Export;United Kingdom;GBR;India;IND;Fruit and nuts, edible peel of citrus fruit or melons;13574
2018;Import;United Kingdom;GBR;China;CHN;Fruit and nuts, edible peel of citrus fruit or melons;47599089
2018;Export;United Kingdom;GBR;China;CHN;Fruit and nuts, edible peel of citrus fruit or melons;186455
2018;Import;United Kingdom;GBR;France;FRA;Fruit and nuts, edible peel of citrus fruit or melons;228396855
2018;Export;United Kingdom;GBR;France;FRA;Fruit and nuts, edible peel of citrus fruit or melons;59617168
2018;Import;United Kingdom;GBR;Germany;DEU;Fruit and nuts, edible peel of citrus fruit or melons;416636646
2018;Export;United Kingdom;GBR;Germany;DEU;Fruit and nuts, edible peel of citrus fruit or melons;28785531
2018;Import;United Kingdom;GBR;India;IND;Fruit and nuts, edible peel of citrus fruit or melons;75339010
2018;Export;United Kingdom;GBR;India;IND;Fruit and nuts, edible peel of citrus fruit or melons;238313
2017;Import;United Kingdom;GBR;China;CHN;Coffee, tea, mate and spices;57828505
2017;Export;United Kingdom;GBR;China;CHN;Coffee, tea, mate and spices;10243430
2017;Re-Export;United Kingdom;GBR;China;CHN;Coffee, tea, mate and spices;8440
2017;Import;United Kingdom;GBR;France;FRA;Coffee, tea, mate and spices;137848446
2017;Export;United Kingdom;GBR;France;FRA;Coffee, tea, mate and spices;63462427
2017;Import;United Kingdom;GBR;Germany;DEU;Coffee, tea, mate and spices;196421102
2017;Export;United Kingdom;GBR;Germany;DEU;Coffee, tea, mate and spices;31436824
2017;Import;United Kingdom;GBR;India;IND;Coffee, tea, mate and spices;138610585
2017;Export;United Kingdom;GBR;India;IND;Coffee, tea, mate and spices;774938
2017;Re-Export;United Kingdom;GBR;India;IND;Coffee, tea, mate and spices;10285
2018;Import;United Kingdom;GBR;China;CHN;Coffee, tea, mate and spices;57339514
2018;Export;United Kingdom;GBR;China;CHN;Coffee, tea, mate and spices;10402394
2018;Import;United Kingdom;GBR;France;FRA;Coffee, tea, mate and spices;166108682
2018;Export;United Kingdom;GBR;France;FRA;Coffee, tea, mate and spices;44924545
2018;Import;United Kingdom;GBR;Germany;DEU;Coffee, tea, mate and spices;171533490
2018;Export;United Kingdom;GBR;Germany;DEU;Coffee, tea, mate and spices;28081342
2018;Import;United Kingdom;GBR;India;IND;Coffee, tea, mate and spices;139314922
2018;Export;United Kingdom;GBR;India;IND;Coffee, tea, mate and spices;1012675
2017;Import;United Kingdom;GBR;China;CHN;Cereals;1121558
2017;Export;United Kingdom;GBR;China;CHN;Cereals;387225
2017;Import;United Kingdom;GBR;France;FRA;Cereals;213459526
2017;Export;United Kingdom;GBR;France;FRA;Cereals;22523125
2017;Import;United Kingdom;GBR;Germany;DEU;Cereals;73338888
2017;Export;United Kingdom;GBR;Germany;DEU;Cereals;31571595
2017;Import;United Kingdom;GBR;India;IND;Cereals;217919914
2017;Export;United Kingdom;GBR;India;IND;Cereals;5242
2018;Import;United Kingdom;GBR;China;CHN;Cereals;986080
2018;Export;United Kingdom;GBR;China;CHN;Cereals;270423
2018;Import;United Kingdom;GBR;France;FRA;Cereals;237619451
2018;Export;United Kingdom;GBR;France;FRA;Cereals;24345682
2018;Import;United Kingdom;GBR;Germany;DEU;Cereals;76784814
2018;Export;United Kingdom;GBR;Germany;DEU;Cereals;26124739
2018;Import;United Kingdom;GBR;India;IND;Cereals;81945848
2018;Export;United Kingdom;GBR;India;IND;Cereals;65304
2017;Import;United Kingdom;GBR;China;CHN;Products of the milling industry malt, starches, inulin, wheat gluten;1485255
2017;Export;United Kingdom;GBR;China;CHN;Products of the milling industry malt, starches, inulin, wheat gluten;1158296
2017;Import;United Kingdom;GBR;France;FRA;Products of the milling industry malt, starches, inulin, wheat gluten;59392277
2017;Export;United Kingdom;GBR;France;FRA;Products of the milling industry malt, starches, inulin, wheat gluten;26544972
2017;Import;United Kingdom;GBR;Germany;DEU;Products of the milling industry malt, starches, inulin, wheat gluten;92164768
2017;Export;United Kingdom;GBR;Germany;DEU;Products of the milling industry malt, starches, inulin, wheat gluten;9811239
2017;Import;United Kingdom;GBR;India;IND;Products of the milling industry malt, starches, inulin, wheat gluten;10231553
2017;Export;United Kingdom;GBR;India;IND;Products of the milling industry malt, starches, inulin, wheat gluten;2260042
2018;Import;United Kingdom;GBR;China;CHN;Products of the milling industry malt, starches, inulin, wheat gluten;1605333
2018;Export;United Kingdom;GBR;China;CHN;Products of the milling industry malt, starches, inulin, wheat gluten;446608
2018;Import;United Kingdom;GBR;France;FRA;Products of the milling industry malt, starches, inulin, wheat gluten;67494026
2018;Export;United Kingdom;GBR;France;FRA;Products of the milling industry malt, starches, inulin, wheat gluten;27055208
2018;Import;United Kingdom;GBR;Germany;DEU;Products of the milling industry malt, starches, inulin, wheat gluten;101285072
2018;Export;United Kingdom;GBR;Germany;DEU;Products of the milling industry malt, starches, inulin, wheat gluten;23416278
2018;Import;United Kingdom;GBR;India;IND;Products of the milling industry malt, starches, inulin, wheat gluten;10087564
2018;Export;United Kingdom;GBR;India;IND;Products of the milling industry malt, starches, inulin, wheat gluten;1051201
2017;Import;United Kingdom;GBR;China;CHN;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;64190207
2017;Export;United Kingdom;GBR;China;CHN;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;844679
2017;Re-Export;United Kingdom;GBR;China;CHN;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;206548
2017;Import;United Kingdom;GBR;France;FRA;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;50182734
2017;Export;United Kingdom;GBR;France;FRA;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;20501509
2017;Import;United Kingdom;GBR;Germany;DEU;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;69288482
2017;Export;United Kingdom;GBR;Germany;DEU;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;45607954
2017;Import;United Kingdom;GBR;India;IND;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;28335508
2017;Export;United Kingdom;GBR;India;IND;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;490263
2018;Import;United Kingdom;GBR;China;CHN;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;60668891
2018;Export;United Kingdom;GBR;China;CHN;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;839810
2018;Import;United Kingdom;GBR;France;FRA;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;98257313
2018;Export;United Kingdom;GBR;France;FRA;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;23414888
2018;Import;United Kingdom;GBR;Germany;DEU;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;80884317
2018;Export;United Kingdom;GBR;Germany;DEU;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;51369569
2018;Import;United Kingdom;GBR;India;IND;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;27032193
2018;Export;United Kingdom;GBR;India;IND;Oil seeds and oleaginous fruits miscellaneous grains, seeds and fruit, industrial or medicinal plants straw and fodder;209768
2017;Import;United Kingdom;GBR;China;CHN;Lac gums, resins and other vegetable saps and extracts;14378226
2017;Export;United Kingdom;GBR;China;CHN;Lac gums, resins and other vegetable saps and extracts;2982482
2017;Import;United Kingdom;GBR;France;FRA;Lac gums, resins and other vegetable saps and extracts;20933915
2017;Export;United Kingdom;GBR;France;FRA;Lac gums, resins and other vegetable saps and extracts;5361589
2017;Import;United Kingdom;GBR;Germany;DEU;Lac gums, resins and other vegetable saps and extracts;41716198
2017;Export;United Kingdom;GBR;Germany;DEU;Lac gums, resins and other vegetable saps and extracts;16108410
2017;Import;United Kingdom;GBR;India;IND;Lac gums, resins and other vegetable saps and extracts;13116696
2017;Export;United Kingdom;GBR;India;IND;Lac gums, resins and other vegetable saps and extracts;560173
2018;Import;United Kingdom;GBR;China;CHN;Lac gums, resins and other vegetable saps and extracts;18394749
2018;Export;United Kingdom;GBR;China;CHN;Lac gums, resins and other vegetable saps and extracts;2453438
2018;Import;United Kingdom;GBR;France;FRA;Lac gums, resins and other vegetable saps and extracts;26418072
2018;Export;United Kingdom;GBR;France;FRA;Lac gums, resins and other vegetable saps and extracts;2555775
2018;Import;United Kingdom;GBR;Germany;DEU;Lac gums, resins and other vegetable saps and extracts;35673343
2018;Export;United Kingdom;GBR;Germany;DEU;Lac gums, resins and other vegetable saps and extracts;13754089
2018;Import;United Kingdom;GBR;India;IND;Lac gums, resins and other vegetable saps and extracts;18095164
2018;Export;United Kingdom;GBR;India;IND;Lac gums, resins and other vegetable saps and extracts;712232
2017;Import;United Kingdom;GBR;China;CHN;Vegetable plaiting materials vegetable products not elsewhere specified or included;6555155
2017;Export;United Kingdom;GBR;China;CHN;Vegetable plaiting materials vegetable products not elsewhere specified or included;21536
2017;Import;United Kingdom;GBR;France;FRA;Vegetable plaiting materials vegetable products not elsewhere specified or included;110671
